,count,date,state,year
139,4,2012_09_29,Louisiana,2012
140,10,2012_09_30,Louisiana,2012
141,3,2012_08_01,Louisiana,2012
142,1,2012_08_06,Louisiana,2012
143,2,2012_08_07,Louisiana,2012
144,2,2012_08_08,Louisiana,2012
145,1,2012_08_10,Louisiana,2012
146,1,2012_08_11,Louisiana,2012
147,1,2012_08_13,Louisiana,2012
148,10,2012_08_14,Louisiana,2012
149,3,2012_08_19,Louisiana,2012
150,2,2012_08_20,Louisiana,2012
151,1,2012_08_21,Louisiana,2012
152,1,2012_08_22,Louisiana,2012
153,2,2012_08_23,Louisiana,2012
154,1,2012_08_25,Louisiana,2012
155,1,2012_08_26,Louisiana,2012
156,2,2012_08_29,Louisiana,2012
157,1,2012_08_30,Louisiana,2012
158,3,2012_01_01,Louisiana,2012
159,4,2012_01_02,Louisiana,2012
160,1,2012_01_03,Louisiana,2012
161,4,2012_01_05,Louisiana,2012
162,5,2012_01_06,Louisiana,2012
163,2,2012_01_07,Louisiana,2012
164,2,2012_01_09,Louisiana,2012
165,5,2012_01_10,Louisiana,2012
166,4,2012_01_11,Louisiana,2012
167,6,2012_01_12,Louisiana,2012
168,3,2012_01_13,Louisiana,2012
169,4,2012_01_14,Louisiana,2012
170,2,2012_01_15,Louisiana,2012
171,1,2012_01_16,Louisiana,2012
172,1,2012_01_17,Louisiana,2012
173,5,2012_01_18,Louisiana,2012
174,6,2012_01_25,Louisiana,2012
175,4,2012_01_26,Louisiana,2012
176,2,2012_01_27,Louisiana,2012
177,1,2012_01_28,Louisiana,2012
178,1,2012_01_29,Louisiana,2012
179,3,2012_01_31,Louisiana,2012
180,2,2012_06_02,Louisiana,2012
181,1,2012_06_03,Louisiana,2012
182,1,2012_06_04,Louisiana,2012
183,1,2012_06_05,Louisiana,2012
184,1,2012_06_14,Louisiana,2012
185,1,2012_06_16,Louisiana,2012
186,1,2012_06_22,Louisiana,2012
187,1,2012_06_24,Louisiana,2012
188,3,2012_12_01,Louisiana,2012
189,10,2012_12_02,Louisiana,2012
190,19,2012_12_03,Louisiana,2012
191,22,2012_12_04,Louisiana,2012
192,23,2012_12_05,Louisiana,2012
193,22,2012_12_06,Louisiana,2012
194,14,2012_12_07,Louisiana,2012
195,5,2012_12_08,Louisiana,2012
196,1,2012_12_09,Louisiana,2012
197,9,2012_12_10,Louisiana,2012
198,10,2012_12_11,Louisiana,2012
199,3,2012_12_12,Louisiana,2012
200,9,2012_12_13,Louisiana,2012
201,1,2012_12_14,Louisiana,2012
202,1,2012_12_15,Louisiana,2012
203,8,2012_12_16,Louisiana,2012
204,11,2012_12_17,Louisiana,2012
205,10,2012_12_18,Louisiana,2012
206,11,2012_12_19,Louisiana,2012
207,13,2012_12_20,Louisiana,2012
208,6,2012_12_21,Louisiana,2012
209,3,2012_12_22,Louisiana,2012
210,4,2012_12_23,Louisiana,2012
211,1,2012_12_24,Louisiana,2012
212,7,2012_12_25,Louisiana,2012
213,7,2012_12_26,Louisiana,2012
214,6,2012_12_27,Louisiana,2012
215,8,2012_12_28,Louisiana,2012
216,1,2012_12_29,Louisiana,2012
217,1,2012_12_30,Louisiana,2012
218,1,2012_12_31,Louisiana,2012
219,5,2012_03_01,Michigan,2012
220,6,2012_03_02,Michigan,2012
221,2,2012_03_03,Michigan,2012
222,1,2012_03_04,Michigan,2012
223,4,2012_03_05,Michigan,2012
224,2,2012_03_06,Michigan,2012
225,4,2012_03_07,Michigan,2012
226,5,2012_03_08,Michigan,2012
227,7,2012_03_09,Michigan,2012
228,2,2012_03_11,Michigan,2012
229,2,2012_03_12,Michigan,2012
230,4,2012_03_13,Michigan,2012
231,1,2012_03_14,Michigan,2012
232,2,2012_03_15,Michigan,2012
233,2,2012_03_16,Michigan,2012
234,1,2012_03_17,Michigan,2012
235,1,2012_03_18,Michigan,2012
236,1,2012_03_20,Michigan,2012
237,1,2012_03_21,Michigan,2012
238,1,2012_03_22,Michigan,2012
239,3,2012_03_23,Michigan,2012
240,2,2012_03_25,Michigan,2012
241,2,2012_03_26,Michigan,2012
242,2,2012_03_28,Michigan,2012
243,4,2012_03_29,Michigan,2012
244,3,2012_03_30,Michigan,2012
245,1,2012_04_01,Michigan,2012
246,2,2012_04_02,Michigan,2012
247,1,2012_04_03,Michigan,2012
248,6,2012_04_04,Michigan,2012
249,1,2012_04_05,Michigan,2012
250,8,2012_04_07,Michigan,2012
251,1,2012_04_09,Michigan,2012
252,2,2012_04_10,Michigan,2012
253,2,2012_04_11,Michigan,2012
254,1,2012_04_12,Michigan,2012
255,1,2012_04_13,Michigan,2012
256,1,2012_04_15,Michigan,2012
257,3,2012_04_16,Michigan,2012
258,1,2012_04_18,Michigan,2012
259,2,2012_04_19,Michigan,2012
260,1,2012_04_21,Michigan,2012
261,2,2012_04_22,Michigan,2012
262,1,2012_04_23,Michigan,2012
263,4,2012_04_24,Michigan,2012
264,1,2012_04_25,Michigan,2012
265,5,2012_04_26,Michigan,2012
266,1,2012_04_27,Michigan,2012
267,2,2012_04_28,Michigan,2012
268,1,2012_04_29,Michigan,2012
269,1,2012_04_30,Michigan,2012
270,4,2012_05_01,Michigan,2012
271,2,2012_05_02,Michigan,2012
272,1,2012_05_05,Michigan,2012
273,1,2012_05_06,Michigan,2012
274,1,2012_05_10,Michigan,2012
275,1,2012_05_11,Michigan,2012
276,2,2012_05_13,Michigan,2012
277,1,2012_05_14,Michigan,2012
278,3,2012_05_18,Michigan,2012
279,4,2012_05_19,Michigan,2012
280,1,2012_05_21,Michigan,2012
281,1,2012_05_22,Michigan,2012
282,1,2012_05_24,Michigan,2012
283,1,2012_05_25,Michigan,2012
284,1,2012_05_27,Michigan,2012
285,1,2012_05_31,Michigan,2012
286,9,2012_02_01,Michigan,2012
287,8,2012_02_02,Michigan,2012
288,7,2012_02_03,Michigan,2012
289,4,2012_02_04,Michigan,2012
290,8,2012_02_06,Michigan,2012
291,8,2012_02_07,Michigan,2012
292,7,2012_02_08,Michigan,2012
293,2,2012_02_09,Michigan,2012
294,6,2012_02_10,Michigan,2012
295,2,2012_02_11,Michigan,2012
296,4,2012_02_12,Michigan,2012
297,3,2012_02_13,Michigan,2012
298,2,2012_02_14,Michigan,2012
299,4,2012_02_15,Michigan,2012
300,4,2012_02_16,Michigan,2012
301,4,2012_02_17,Michigan,2012
302,3,2012_02_18,Michigan,2012
303,2,2012_02_20,Michigan,2012
304,13,2012_02_21,Michigan,2012
305,1,2012_02_22,Michigan,2012
306,7,2012_02_23,Michigan,2012
307,2,2012_02_24,Michigan,2012
308,5,2012_02_25,Michigan,2012
309,1,2012_02_26,Michigan,2012
310,2,2012_02_27,Michigan,2012
311,4,2012_02_28,Michigan,2012
312,7,2012_02_29,Michigan,2012
313,19,2012_11_01,Michigan,2012
314,20,2012_11_02,Michigan,2012
315,14,2012_11_03,Michigan,2012
316,7,2012_11_04,Michigan,2012
317,27,2012_11_05,Michigan,2012
318,26,2012_11_06,Michigan,2012
319,20,2012_11_07,Michigan,2012
320,27,2012_11_08,Michigan,2012
321,26,2012_11_09,Michigan,2012
322,2,2012_11_10,Michigan,2012
323,6,2012_11_11,Michigan,2012
324,11,2012_11_12,Michigan,2012
325,15,2012_11_13,Michigan,2012
326,10,2012_11_14,Michigan,2012
327,7,2012_11_15,Michigan,2012
328,5,2012_11_16,Michigan,2012
329,4,2012_11_17,Michigan,2012
330,1,2012_11_18,Michigan,2012
331,5,2012_11_19,Michigan,2012
332,3,2012_11_20,Michigan,2012
333,9,2012_11_21,Michigan,2012
334,5,2012_11_22,Michigan,2012
335,10,2012_11_23,Michigan,2012
336,4,2012_11_24,Michigan,2012
337,8,2012_11_25,Michigan,2012
338,16,2012_11_26,Michigan,2012
339,17,2012_11_27,Michigan,2012
340,13,2012_11_28,Michigan,2012
341,15,2012_11_29,Michigan,2012
342,12,2012_11_30,Michigan,2012
343,25,2012_10_01,Michigan,2012
344,37,2012_10_02,Michigan,2012
345,43,2012_10_03,Michigan,2012
346,30,2012_10_04,Michigan,2012
347,14,2012_10_05,Michigan,2012
348,15,2012_10_06,Michigan,2012
349,10,2012_10_07,Michigan,2012
350,30,2012_10_08,Michigan,2012
351,40,2012_10_09,Michigan,2012
352,32,2012_10_10,Michigan,2012
353,1,2012_10_12,Michigan,2012
354,30,2012_10_18,Michigan,2012
355,35,2012_10_19,Michigan,2012
356,14,2012_10_20,Michigan,2012
357,19,2012_10_21,Michigan,2012
358,20,2012_10_22,Michigan,2012
359,38,2012_10_23,Michigan,2012
360,32,2012_10_24,Michigan,2012
361,32,2012_10_25,Michigan,2012
362,10,2012_10_26,Michigan,2012
363,7,2012_10_27,Michigan,2012
364,33,2012_10_28,Michigan,2012
365,33,2012_10_29,Michigan,2012
366,23,2012_10_30,Michigan,2012
367,5,2012_10_31,Michigan,2012
368,2,2012_07_01,Michigan,2012
369,1,2012_07_04,Michigan,2012
370,2,2012_07_06,Michigan,2012
371,2,2012_07_08,Michigan,2012
372,1,2012_07_09,Michigan,2012
373,3,2012_07_10,Michigan,2012
374,2,2012_07_11,Michigan,2012
375,1,2012_07_12,Michigan,2012
376,1,2012_07_14,Michigan,2012
377,1,2012_07_18,Michigan,2012
378,5,2012_07_24,Michigan,2012
379,1,2012_07_25,Michigan,2012
380,3,2012_07_27,Michigan,2012
381,2,2012_07_28,Michigan,2012
382,1,2012_07_29,Michigan,2012
383,2,2012_07_31,Michigan,2012
384,2,2012_09_01,Michigan,2012
385,4,2012_09_02,Michigan,2012
386,3,2012_09_03,Michigan,2012
387,5,2012_09_04,Michigan,2012
388,10,2012_09_05,Michigan,2012
389,8,2012_09_06,Michigan,2012
390,2,2012_09_07,Michigan,2012
391,6,2012_09_08,Michigan,2012
392,3,2012_09_09,Michigan,2012
393,7,2012_09_10,Michigan,2012
394,18,2012_09_11,Michigan,2012
395,12,2012_09_12,Michigan,2012
396,13,2012_09_13,Michigan,2012
397,6,2012_09_14,Michigan,2012
398,24,2012_09_21,Michigan,2012
399,13,2012_09_22,Michigan,2012
400,14,2012_09_23,Michigan,2012
401,30,2012_09_24,Michigan,2012
402,24,2012_09_25,Michigan,2012
403,25,2012_09_26,Michigan,2012
404,34,2012_09_27,Michigan,2012
405,16,2012_09_28,Michigan,2012
406,13,2012_09_29,Michigan,2012
407,18,2012_09_30,Michigan,2012
408,3,2012_08_01,Michigan,2012
409,1,2012_08_02,Michigan,2012
410,1,2012_08_04,Michigan,2012
411,5,2012_08_06,Michigan,2012
412,1,2012_08_07,Michigan,2012
413,2,2012_08_09,Michigan,2012
414,2,2012_08_13,Michigan,2012
415,7,2012_08_14,Michigan,2012
416,3,2012_08_15,Michigan,2012
417,2,2012_08_16,Michigan,2012
418,3,2012_08_18,Michigan,2012
419,2,2012_08_19,Michigan,2012
420,4,2012_08_20,Michigan,2012
421,3,2012_08_21,Michigan,2012
422,3,2012_08_22,Michigan,2012
423,2,2012_08_23,Michigan,2012
424,5,2012_08_24,Michigan,2012
425,4,2012_08_25,Michigan,2012
426,4,2012_08_26,Michigan,2012
427,3,2012_08_27,Michigan,2012
428,11,2012_08_28,Michigan,2012
429,10,2012_08_29,Michigan,2012
430,3,2012_08_30,Michigan,2012
431,1,2012_08_31,Michigan,2012
432,5,2012_01_01,Michigan,2012
433,5,2012_01_02,Michigan,2012
434,6,2012_01_03,Michigan,2012
435,11,2012_01_04,Michigan,2012
436,12,2012_01_05,Michigan,2012
437,11,2012_01_06,Michigan,2012
438,4,2012_01_07,Michigan,2012
439,1,2012_01_08,Michigan,2012
440,4,2012_01_09,Michigan,2012
441,3,2012_01_10,Michigan,2012
442,3,2012_01_11,Michigan,2012
443,12,2012_01_12,Michigan,2012
444,7,2012_01_13,Michigan,2012
445,5,2012_01_14,Michigan,2012
446,3,2012_01_15,Michigan,2012
447,5,2012_01_16,Michigan,2012
448,4,2012_01_17,Michigan,2012
449,11,2012_01_18,Michigan,2012
450,6,2012_01_24,Michigan,2012
451,6,2012_01_25,Michigan,2012
452,13,2012_01_26,Michigan,2012
453,2,2012_01_27,Michigan,2012
454,13,2012_01_28,Michigan,2012
455,3,2012_01_29,Michigan,2012
456,4,2012_01_30,Michigan,2012
457,4,2012_01_31,Michigan,2012
458,2,2012_06_02,Michigan,2012
459,2,2012_06_03,Michigan,2012
460,1,2012_06_04,Michigan,2012
461,3,2012_06_08,Michigan,2012
462,1,2012_06_13,Michigan,2012
463,1,2012_06_15,Michigan,2012
464,2,2012_06_18,Michigan,2012
465,1,2012_06_19,Michigan,2012
466,1,2012_06_22,Michigan,2012
467,2,2012_06_24,Michigan,2012
468,2,2012_06_26,Michigan,2012
469,1,2012_06_28,Michigan,2012
470,1,2012_06_29,Michigan,2012
471,8,2012_12_01,Michigan,2012
472,17,2012_12_02,Michigan,2012
473,43,2012_12_03,Michigan,2012
474,24,2012_12_04,Michigan,2012
475,21,2012_12_05,Michigan,2012
476,20,2012_12_06,Michigan,2012
477,12,2012_12_07,Michigan,2012
478,5,2012_12_08,Michigan,2012
479,8,2012_12_09,Michigan,2012
480,20,2012_12_10,Michigan,2012
481,11,2012_12_11,Michigan,2012
482,9,2012_12_12,Michigan,2012
483,36,2012_12_13,Michigan,2012
484,8,2012_12_14,Michigan,2012
485,7,2012_12_15,Michigan,2012
486,16,2012_12_16,Michigan,2012
487,11,2012_12_17,Michigan,2012
488,16,2012_12_18,Michigan,2012
489,4,2012_12_19,Michigan,2012
490,25,2012_12_20,Michigan,2012
491,16,2012_12_21,Michigan,2012
492,7,2012_12_22,Michigan,2012
493,5,2012_12_23,Michigan,2012
494,7,2012_12_24,Michigan,2012
495,2,2012_12_25,Michigan,2012
496,14,2012_12_26,Michigan,2012
497,19,2012_12_27,Michigan,2012
498,11,2012_12_28,Michigan,2012
499,12,2012_12_29,Michigan,2012
500,7,2012_12_30,Michigan,2012
501,4,2012_12_31,Michigan,2012
502,8,2012_03_01,Florida,2012
503,13,2012_03_02,Florida,2012
504,3,2012_03_03,Florida,2012
505,7,2012_03_04,Florida,2012
506,11,2012_03_05,Florida,2012
507,4,2012_03_06,Florida,2012
508,3,2012_03_07,Florida,2012
509,6,2012_03_08,Florida,2012
510,6,2012_03_09,Florida,2012
511,3,2012_03_10,Florida,2012
512,6,2012_03_11,Florida,2012
513,5,2012_03_12,Florida,2012
514,7,2012_03_13,Florida,2012
515,1,2012_03_14,Florida,2012
516,7,2012_03_15,Florida,2012
517,5,2012_03_16,Florida,2012
518,7,2012_03_17,Florida,2012
519,7,2012_03_18,Florida,2012
520,4,2012_03_19,Florida,2012
521,4,2012_03_20,Florida,2012
522,15,2012_03_21,Florida,2012
523,1,2012_03_22,Florida,2012
524,4,2012_03_23,Florida,2012
525,4,2012_03_25,Florida,2012
526,7,2012_03_26,Florida,2012
527,11,2012_03_28,Florida,2012
528,11,2012_03_29,Florida,2012
529,8,2012_03_30,Florida,2012
530,3,2012_03_31,Florida,2012
531,2,2012_04_01,Florida,2012
532,1,2012_04_02,Florida,2012
533,4,2012_04_03,Florida,2012
534,9,2012_04_04,Florida,2012
535,1,2012_04_05,Florida,2012
536,3,2012_04_06,Florida,2012
537,11,2012_04_07,Florida,2012
538,2,2012_04_08,Florida,2012
539,7,2012_04_09,Florida,2012
540,7,2012_04_10,Florida,2012
541,2,2012_04_11,Florida,2012
542,1,2012_04_12,Florida,2012
543,3,2012_04_13,Florida,2012
544,2,2012_04_14,Florida,2012
545,3,2012_04_15,Florida,2012
546,4,2012_04_17,Florida,2012
547,2,2012_04_18,Florida,2012
548,3,2012_04_19,Florida,2012
549,6,2012_04_21,Florida,2012
550,4,2012_04_22,Florida,2012
551,9,2012_04_24,Florida,2012
552,6,2012_04_25,Florida,2012
553,13,2012_04_26,Florida,2012
554,14,2012_04_27,Florida,2012
555,4,2012_04_28,Florida,2012
556,5,2012_04_30,Florida,2012
557,3,2012_05_01,Florida,2012
558,1,2012_05_02,Florida,2012
559,3,2012_05_04,Florida,2012
560,3,2012_05_05,Florida,2012
561,3,2012_05_06,Florida,2012
562,10,2012_05_07,Florida,2012
563,1,2012_05_08,Florida,2012
564,4,2012_05_09,Florida,2012
565,3,2012_05_10,Florida,2012
566,4,2012_05_11,Florida,2012
567,3,2012_05_12,Florida,2012
568,5,2012_05_13,Florida,2012
569,1,2012_05_14,Florida,2012
570,1,2012_05_15,Florida,2012
571,1,2012_05_18,Florida,2012
572,6,2012_05_19,Florida,2012
573,4,2012_05_21,Florida,2012
574,10,2012_05_22,Florida,2012
575,1,2012_05_23,Florida,2012
576,7,2012_05_24,Florida,2012
577,3,2012_05_25,Florida,2012
578,2,2012_05_26,Florida,2012
579,1,2012_05_27,Florida,2012
580,2,2012_05_28,Florida,2012
581,1,2012_05_29,Florida,2012
582,3,2012_05_30,Florida,2012
583,4,2012_05_31,Florida,2012
584,11,2012_02_01,Florida,2012
585,17,2012_02_02,Florida,2012
