,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,45,3.0,16,59,3.0
1,91,4.0,30,121,5.0
2,68,12.0,19,108,12.0
3,135,15.0,57,243,26.0
4,172,34.0,67,303,50.0
5,304,75.0,54,476,96.0
6,458,99.0,120,776,130.0
7,575,155.0,133,932,205.0
8,539,159.0,119,950,221.0
9,500,160.0,113,893,235.0
10,643,148.0,270,1018,209.0
11,538,144.0,154,905,205.0
12,459,138.0,90,693,178.0
13,328,77.0,81,592,114.0
14,323,83.0,51,503,115.0
15,293,63.0,36,468,81.0
16,244,43.0,45,408,65.0
17,290,45.0,108,510,62.0
18,331,50.0,84,492,63.0
19,201,27.0,31,296,42.0
20,277,36.0,60,470,53.0
21,524,85.0,111,826,130.0
22,877,176.0,188,1551,267.0
23,575,144.0,93,896,179.0
24,460,118.0,142,813,151.0
25,362,71.0,107,616,112.0
26,269,53.0,60,409,70.0
27,202,30.0,68,281,36.0
28,156,14.0,39,268,22.0
29,141,17.0,28,216,24.0
30,68,9.0,14,112,15.0
31,59,9.0,8,83,10.0
32,73,11.0,12,93,18.0
33,133,4.0,25,159,8.0
34,90,8.0,8,97,8.0
35,54,8.0,1,57,12.0
36,58,6.0,15,92,7.0
37,83,7.0,13,105,9.0
38,81,2.0,11,75,2.0
39,28,1.0,3,54,6.0
40,24,2.0,2,22,3.0
41,38,2.0,5,57,7.0
42,119,1.0,21,148,2.0
43,64,4.0,7,86,5.0
44,61,1.0,6,64,1.0
45,78,2.0,7,106,2.0
46,62,1.0,11,91,2.0
47,41,2.0,17,72,2.0
48,60,1.0,7,78,1.0
49,47,4.0,4,69,5.0
50,32,6.0,4,55,7.0
51,74,,18,115,
