,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,68,1.0,17,120,2.0
1,156,5.0,27,240,8.0
2,9,1.0,1,12,1.0
3,160,13.0,20,225,16.0
4,208,26.0,52,378,35.0
5,279,39.0,66,481,50.0
6,303,59.0,93,611,80.0
7,604,105.0,155,1043,137.0
8,598,110.0,167,1054,142.0
9,581,116.0,194,1142,159.0
10,435,96.0,110,948,139.0
11,547,113.0,193,946,136.0
12,401,92.0,135,679,124.0
13,352,64.0,85,557,87.0
14,260,62.0,56,436,80.0
15,234,33.0,42,358,44.0
16,217,43.0,60,387,56.0
17,263,24.0,131,436,26.0
18,282,41.0,73,433,48.0
19,167,29.0,49,254,34.0
20,128,18.0,16,233,21.0
21,203,23.0,57,290,29.0
22,255,28.0,72,396,34.0
23,185,22.0,68,335,24.0
24,278,17.0,66,393,22.0
25,233,25.0,38,328,34.0
26,193,14.0,55,272,17.0
27,238,13.0,42,337,16.0
28,208,12.0,28,274,16.0
29,185,19.0,24,213,20.0
30,148,5.0,32,200,6.0
31,118,10.0,19,183,10.0
32,71,3.0,12,120,5.0
33,57,4.0,9,99,4.0
34,92,5.0,27,141,6.0
35,87,7.0,14,97,9.0
36,52,3.0,16,75,3.0
37,32,2.0,7,41,1.0
38,55,4.0,5,79,3.0
39,73,2.0,6,79,4.0
40,83,2.0,15,103,4.0
41,42,1.0,8,60,2.0
42,40,2.0,5,50,1.0
43,44,3.0,7,67,2.0
44,54,2.0,11,73,5.0
45,88,3.0,15,102,3.0
46,186,2.0,45,233,4.0
47,95,1.0,25,125,2.0
48,49,1.0,8,67,1.0
49,98,,53,129,2.0
50,446,,9,476,
51,81,,17,110,
