,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,71,8.0,13,88,10.0
1,89,5.0,23,138,8.0
2,198,9.0,86,283,15.0
3,157,12.0,28,299,16.0
4,213,40.0,44,366,52.0
5,325,60.0,89,541,82.0
6,571,119.0,153,951,154.0
7,651,166.0,178,1210,234.0
8,828,209.0,171,1384,274.0
9,936,249.0,241,1655,332.0
10,1001,242.0,248,1810,334.0
11,984,207.0,257,1755,275.0
12,627,132.0,176,1037,172.0
13,397,96.0,90,649,124.0
14,573,165.0,199,925,197.0
15,387,71.0,69,632,102.0
16,925,83.0,102,1203,107.0
17,813,52.0,168,1220,62.0
18,328,46.0,107,539,54.0
19,244,22.0,45,326,31.0
20,344,38.0,56,482,47.0
21,510,73.0,64,748,90.0
22,659,44.0,161,921,57.0
23,793,25.0,110,1109,36.0
24,286,19.0,49,344,25.0
25,168,12.0,17,218,16.0
26,195,21.0,23,253,23.0
27,126,14.0,15,160,15.0
28,110,12.0,11,168,16.0
29,157,11.0,16,196,16.0
30,83,9.0,8,121,10.0
31,81,6.0,4,93,8.0
32,76,4.0,7,104,5.0
33,64,6.0,11,87,6.0
34,66,2.0,11,79,2.0
35,31,2.0,5,40,2.0
36,152,2.0,13,164,2.0
37,54,1.0,5,74,1.0
38,56,4.0,10,69,6.0
39,55,1.0,14,89,4.0
40,89,5.0,46,128,5.0
41,65,1.0,7,80,1.0
42,68,2.0,5,86,2.0
43,122,1.0,24,160,1.0
44,111,5.0,4,130,6.0
45,40,7.0,2,57,7.0
46,151,3.0,12,180,3.0
47,126,1.0,18,160,1.0
48,92,1.0,13,143,1.0
49,101,1.0,23,129,1.0
50,49,,4,61,
51,65,,13,104,
