,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,556,35,193,943,49
1,544,25,99,821,42
2,1639,52,790,2368,78
3,1020,68,454,1708,101
4,780,113,395,1633,163
5,1790,244,678,3384,344
6,3389,436,1235,5851,574
7,3716,580,1443,6532,798
8,4705,882,1430,8587,1188
9,5282,879,1306,9121,1151
10,3550,683,1125,6260,913
11,3658,813,920,6348,1078
12,3567,610,800,6039,806
13,2166,421,660,4139,564
14,2352,441,649,4260,584
15,2260,364,511,3892,489
16,1939,202,507,3613,266
17,2287,201,1206,4383,280
18,1983,209,771,3200,260
19,1480,237,357,2554,283
20,1517,119,271,2170,157
21,898,91,234,1563,116
22,731,113,192,1150,138
23,902,176,191,1349,205
24,638,77,170,1057,98
25,814,82,240,1313,101
26,710,70,189,1124,86
27,645,59,169,1064,76
28,1959,52,145,2244,60
29,398,33,167,707,38
30,728,76,171,1007,95
31,573,49,106,777,65
32,466,47,68,814,55
33,1688,38,86,1858,46
34,1552,34,123,1687,42
35,503,29,170,852,38
36,449,32,90,619,35
37,674,26,168,1045,35
38,744,17,316,1004,21
39,354,14,87,558,16
40,490,19,78,657,24
41,336,11,97,402,14
42,245,9,42,363,13
43,385,10,61,483,12
44,433,47,86,507,50
45,669,12,61,745,14
46,1739,6,98,2124,9
47,565,21,58,744,23
48,409,7,109,491,10
49,254,7,38,372,10
50,560,11,302,840,13
51,524,10,160,795,15
