,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,39,2.0,9.0,76,4.0
1,34,7.0,10.0,65,11.0
2,50,8.0,13.0,95,13.0
3,87,25.0,19.0,128,29.0
4,87,23.0,24.0,164,33.0
5,4,52.0,2.0,8,1.0
6,199,79.0,50.0,394,77.0
7,297,50.0,77.0,509,113.0
8,205,11.0,46.0,343,80.0
9,47,79.0,12.0,75,14.0
10,312,29.0,74.0,529,108.0
11,223,31.0,86.0,320,38.0
12,169,51.0,23.0,289,56.0
13,162,34.0,34.0,316,73.0
14,133,25.0,18.0,201,39.0
15,190,46.0,46.0,320,33.0
16,241,48.0,72.0,423,64.0
17,217,41.0,60.0,340,64.0
18,182,25.0,44.0,278,51.0
19,105,28.0,22.0,163,30.0
20,141,130.0,25.0,231,41.0
21,1053,258.0,249.0,1797,212.0
22,1908,100.0,335.0,3283,390.0
23,544,50.0,110.0,884,126.0
24,253,30.0,43.0,397,57.0
25,164,7.0,37.0,231,35.0
26,67,4.0,12.0,94,10.0
27,225,10.0,37.0,251,5.0
28,158,4.0,36.0,201,12.0
29,57,3.0,11.0,88,7.0
30,104,3.0,35.0,123,4.0
31,42,5.0,8.0,65,4.0
32,60,7.0,7.0,74,5.0
33,95,2.0,5.0,105,8.0
34,66,1.0,15.0,74,2.0
35,50,2.0,12.0,49,2.0
36,18,3.0,1.0,18,2.0
37,33,2.0,6.0,46,3.0
38,22,1.0,4.0,36,2.0
39,35,1.0,8.0,40,2.0
40,37,1.0,11.0,52,1.0
41,42,1.0,8.0,44,1.0
42,35,1.0,5.0,40,1.0
43,40,4.0,14.0,52,1.0
44,51,1.0,4.0,57,1.0
45,42,,11.0,57,4.0
46,12,,1.0,13,1.0
47,17,,5.0,14,
48,17,,6.0,20,
49,15,,3.0,20,
50,12,,3.0,20,
51,14,,,20,
