,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,447,44,115,823,72
1,481,87,116,823,122
2,790,160,238,1403,228
3,897,222,244,1639,310
4,1387,336,401,2554,473
5,53,12,18,123,21
6,3412,1007,758,6138,1423
7,4429,1345,1303,7548,1867
8,2966,965,666,5348,1387
9,836,291,165,1394,398
10,4217,1421,905,7371,2043
11,2997,770,880,4749,1067
12,2854,805,451,4659,1159
13,2317,700,394,3946,970
14,1622,407,215,2451,565
15,2469,515,510,4053,717
16,3591,667,1307,6764,993
17,2756,635,849,4414,898
18,2167,515,522,3419,717
19,1390,306,290,2281,404
20,1688,330,294,2873,460
21,10483,1624,2557,18268,2562
22,15349,2314,2845,25811,3477
23,5487,905,830,8288,1217
24,2810,507,477,4273,649
25,1928,289,253,2697,362
26,945,148,132,1333,194
27,1824,105,305,2218,140
28,1552,116,325,1895,140
29,824,83,112,1120,113
30,981,70,226,1195,95
31,586,60,57,772,79
32,608,36,60,793,49
33,655,57,55,819,81
34,474,34,79,552,40
35,379,29,68,440,39
36,242,18,31,379,20
37,283,22,63,474,30
38,247,28,35,351,34
39,327,30,61,433,40
40,373,11,76,525,15
41,516,17,39,587,19
42,320,16,60,380,20
43,578,13,69,728,22
44,487,16,56,654,23
45,330,4,63,426,5
46,117,12,18,156,12
47,174,5,21,230,8
48,190,9,31,261,12
49,179,18,22,249,23
50,161,7,32,221,9
51,206,15,48,308,19
