,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,67,8.0,18.0,97,10.0
1,44,1.0,3.0,78,1.0
2,206,5.0,106.0,280,5.0
3,76,7.0,34.0,123,8.0
4,56,6.0,27.0,123,10.0
5,135,20.0,46.0,262,26.0
6,245,36.0,75.0,408,43.0
7,322,50.0,100.0,514,62.0
8,449,74.0,115.0,709,98.0
9,478,65.0,101.0,821,87.0
10,298,55.0,99.0,516,77.0
11,284,65.0,51.0,454,80.0
12,291,54.0,52.0,469,66.0
13,199,44.0,69.0,397,58.0
14,207,41.0,57.0,356,53.0
15,173,19.0,46.0,327,26.0
16,163,19.0,44.0,354,26.0
17,177,20.0,101.0,362,22.0
18,169,20.0,58.0,274,22.0
19,135,18.0,23.0,304,20.0
20,104,6.0,16.0,163,10.0
21,71,10.0,14.0,113,10.0
22,49,9.0,20.0,90,14.0
23,57,11.0,12.0,93,16.0
24,47,5.0,7.0,67,5.0
25,66,9.0,22.0,114,12.0
26,63,6.0,23.0,97,7.0
27,73,5.0,22.0,113,7.0
28,81,3.0,10.0,103,3.0
29,38,5.0,14.0,61,6.0
30,62,10.0,11.0,88,13.0
31,57,6.0,8.0,79,7.0
32,36,4.0,10.0,75,6.0
33,59,8.0,8.0,73,8.0
34,58,4.0,11.0,70,4.0
35,52,4.0,28.0,89,5.0
36,40,4.0,8.0,55,4.0
37,61,2.0,23.0,120,2.0
38,79,1.0,35.0,101,1.0
39,27,1.0,6.0,45,1.0
40,41,1.0,14.0,62,1.0
41,28,6.0,6.0,32,1.0
42,17,4.0,2.0,19,6.0
43,24,1.0,7.0,24,6.0
44,70,2.0,4.0,58,1.0
45,96,,6.0,90,2.0
46,222,,2.0,236,2.0
47,44,,16.0,52,
48,40,,2.0,43,
49,14,,36.0,25,
50,61,,18.0,81,
51,38,,,57,
