,flu_vaccine_received,flu_vaccine_received_relevant_intent_to_receive,flu_vaccine_received_relevant_positive_sentiment,flu_vaccine_relevant,flu_vaccine_relevant_intent_to_receive
0,490,48,142,730,66
1,644,77,153,1080,104
2,1378,88,576,2046,143
3,1080,147,272,2014,212
4,1568,325,460,3022,434
5,2963,529,1010,5482,758
6,4862,941,1417,8753,1311
7,5214,1248,1559,9946,1759
8,6960,1630,1976,12823,2269
9,7551,2018,2049,14285,2671
10,8265,1873,2410,15468,2575
11,7346,1520,2044,13167,2045
12,4863,1076,1278,8249,1429
13,2963,667,766,5017,881
14,3364,745,969,5608,1040
15,2520,477,579,4059,653
16,7427,625,1034,9912,821
17,6978,431,2068,11087,553
18,3107,403,1082,5122,515
19,2135,273,362,3213,348
20,2785,268,531,4092,368
21,3694,461,794,5841,593
22,5159,314,1099,7050,392
23,5340,220,690,7213,289
24,1847,118,354,2358,149
25,1129,79,139,1579,99
26,1144,114,147,1548,130
27,731,79,115,948,93
28,785,82,92,1043,99
29,971,53,129,1229,69
30,556,42,71,721,51
31,362,30,33,513,40
32,420,26,53,594,33
33,357,48,60,506,56
34,431,24,61,553,26
35,159,8,31,212,8
36,1003,10,57,843,16
37,247,15,26,346,18
38,279,8,57,362,10
39,230,13,38,332,19
40,459,8,202,591,13
41,287,15,50,327,20
42,392,8,21,446,8
43,691,7,88,898,8
44,592,7,44,688,11
45,210,5,17,269,7
46,647,11,54,833,15
47,416,11,53,505,12
48,248,9,46,435,11
49,539,8,136,670,14
50,331,9,50,418,10
51,312,21,72,445,22
